,searchTime,maxPage,page,themeName,themeTime,themeNum,viewNum,themeAddress
10,2023-05-01 00:43:50,5,3,TechnoRoid 超越意志,年份：2023/01,共12集,6.7萬,https://animeRef.php?sn=113203
11,2023-05-01 00:43:50,5,3,小智是女孩啦！,年份：2023/01,共13集,109.2萬,https://animeRef.php?sn=113205
12,2023-05-01 00:43:50,5,3,間諜教室,年份：2023/01,共12集,69.3萬,https://animeRef.php?sn=113213
13,2023-05-01 00:43:50,5,3,無意間變成狗，被喜歡的女生撿回家。,年份：2023/01,共14集,39萬,https://animeRef.php?sn=113227
14,2023-05-01 00:43:50,5,3,轉生公主與天才千金的魔法革命,年份：2023/01,共12集,184.3萬,https://animeRef.php?sn=113187
15,2023-05-01 00:43:50,5,3,冰屬性男子與無表情女子,年份：2023/01,共12集,85.3萬,https://animeRef.php?sn=113188
16,2023-05-01 00:43:50,5,3,不相信人類的冒險者們好像要去拯救世界,年份：2023/01,共12集,93.1萬,https://animeRef.php?sn=113184
17,2023-05-01 00:43:50,5,3,我與機器子,年份：2022/12,共21集,83.3萬,https://animeRef.php?sn=113172
18,2023-05-01 00:43:50,5,3,關於我轉生變成史萊姆這檔事劇場版 紅蓮之絆篇,年份：2022/11,共1集,9.4萬,https://animeRef.php?sn=113231
19,2023-05-01 00:43:50,5,3,名偵探柯南 警察學校篇 Wild Police Story CASE.諸伏景光,年份：2022/10,共1集,2萬,https://animeRef.php?sn=113208
20,2023-05-01 00:43:50,5,3,給不滅的你 第二季,年份：2022/10,共20集,85.8萬,https://animeRef.php?sn=113150
21,2023-05-01 00:43:50,5,3,她來自煩星,年份：2022/10,共23集,83.4萬,https://animeRef.php?sn=113159
22,2023-05-01 00:43:50,5,3,鏈鋸人,年份：2022/10,共12集,111.9萬,https://animeRef.php?sn=113129
23,2023-05-01 00:43:50,5,3,呆萌酷男孩,年份：2022/10,共24集,92.7萬,https://animeRef.php?sn=113146
24,2023-05-01 00:43:50,5,3,彼得・格里爾的賢者時間 Super Extra,年份：2022/10,共12集,16.1萬,https://animeRef.php?sn=113148
25,2023-05-01 00:43:50,5,3,BLEACH 死神 千年血戰篇,年份：2022/10,共13集,232.3萬,https://animeRef.php?sn=113149
26,2023-05-01 00:43:50,5,3,彼得・格里爾的賢者時間 Super Extra,年份：2022/10,共12集,37.9萬,https://animeRef.php?sn=113153
27,2023-05-01 00:43:50,5,3,藍色監獄,年份：2022/10,共24集,426.7萬,https://animeRef.php?sn=113138
0,2023-05-01 00:43:50,5,4,孤獨搖滾！,年份：2022/10,共12集,661.2萬,https://animeRef.php?sn=113142
1,2023-05-01 00:43:50,5,4,夫婦以上，戀人未滿,年份：2022/10,共12集,132.3萬,https://animeRef.php?sn=113147
2,2023-05-01 00:43:50,5,4,PUI PUI 天竺鼠車車 駕訓班篇,年份：2022/10,共12集,36.7萬,https://animeRef.php?sn=113133
3,2023-05-01 00:43:50,5,4,入間同學入魔了！第三季,年份：2022/10,共21集,206.8萬,https://animeRef.php?sn=113135
4,2023-05-01 00:43:50,5,4,聖劍傳說 Legend of Mana - The Teardrop Crystal -,年份：2022/10,共13集,15.4萬,https://animeRef.php?sn=113152
5,2023-05-01 00:43:50,5,4,MUV-LUV ALTERNATIVE 第二季,年份：2022/10,共12集,21.3萬,https://animeRef.php?sn=113141
6,2023-05-01 00:43:50,5,4,不道德公會,年份：2022/10,共12集,60.3萬,https://animeRef.php?sn=113155
7,2023-05-01 00:43:50,5,4,書蟲公主,年份：2022/10,共12集,44.3萬,https://animeRef.php?sn=113156
8,2023-05-01 00:43:50,5,4,路人超能 100 第三季,年份：2022/10,共12集,177.5萬,https://animeRef.php?sn=113131
9,2023-05-01 00:43:50,5,4,我想成為影之強者！,年份：2022/10,共20集,698.1萬,https://animeRef.php?sn=113154
10,2023-05-01 00:43:50,5,4,菜鳥鍊金術師開店營業中,年份：2022/10,共12集,111.4萬,https://animeRef.php?sn=113151
11,2023-05-01 00:43:50,5,4,被勇者隊伍開除的馭獸使，邂逅了最強種的貓耳少女,年份：2022/10,共13集,205.1萬,https://animeRef.php?sn=113140
12,2023-05-01 00:43:50,5,4,烙印勇士 黃金時代篇 MEMORIAL EDITION,年份：2022/10,共13集,18.9萬,https://animeRef.php?sn=113143
13,2023-05-01 00:43:50,5,4,我的英雄學院 第六季,年份：2022/10,共25集,341.9萬,https://animeRef.php?sn=113134
14,2023-05-01 00:43:50,5,4,點滿農民相關技能後，不知為何就變強了。,年份：2022/10,共12集,127.2萬,https://animeRef.php?sn=113136
15,2023-05-01 00:43:50,5,4,後宮之烏,年份：2022/10,共13集,85.3萬,https://animeRef.php?sn=113145
16,2023-05-01 00:43:50,5,4,我家師傅沒有尾巴,年份：2022/09,共13集,21.2萬,https://animeRef.php?sn=113132
17,2023-05-01 00:43:50,5,4,轉生就是劍,年份：2022/09,共12集,268.4萬,https://animeRef.php?sn=113130
18,2023-05-01 00:43:50,5,4,機動戰士鋼彈 水星的魔女,年份：2022/09,共13集,209.2萬,https://animeRef.php?sn=113139
19,2023-05-01 00:43:50,5,4,因為是反派大小姐所以養了魔王,年份：2022/09,共12集,82.2萬,https://animeRef.php?sn=113137
20,2023-05-01 00:43:50,5,4,劇場版 歌之☆王子殿下♪ 真愛 ST☆RISH TOURS,年份：2022/09,共1集,3338,https://animeRef.php?sn=113266
21,2023-05-01 00:43:50,5,4,風都偵探,年份：2022/08,共12集,78.5萬,https://animeRef.php?sn=113095
22,2023-05-01 00:43:50,5,4,歌之☆王子殿下♪ 真愛 ST☆RISH TOURS～旅程的起點～,年份：2022/07,共1集,8325,https://animeRef.php?sn=113165
23,2023-05-01 00:43:50,5,4,新來的女傭有點怪,年份：2022/07,共11集,46.5萬,https://animeRef.php?sn=113090
24,2023-05-01 00:43:50,5,4,Love Live! SuperStar!! 第二季,年份：2022/07,共12集,25.1萬,https://animeRef.php?sn=113092
25,2023-05-01 00:43:50,5,4,打工吧，魔王大人！第二季,年份：2022/07,共12集,108.9萬,https://animeRef.php?sn=113078
26,2023-05-01 00:43:50,5,4,東方少年 第二季,年份：2022/07,共12集,18.1萬,https://animeRef.php?sn=113071
27,2023-05-01 00:43:50,5,4,Dr.STONE 新石紀 (龍水),年份：2022/07,共2集,29.9萬,https://animeRef.php?sn=113091
0,2023-05-01 00:43:50,5,5,異世界藥局,年份：2022/07,共12集,208萬,https://animeRef.php?sn=113094
1,2023-05-01 00:43:50,5,5,SHADOWS HOUSE-影宅- 第二季,年份：2022/07,共12集,71.2萬,https://animeRef.php?sn=113079
2,2023-05-01 00:43:50,5,5,惑星公主蜥蜴騎士,年份：2022/07,共25集,32.3萬,https://animeRef.php?sn=113082
3,2023-05-01 00:43:50,5,5,黑之召喚士,年份：2022/07,共12集,179.5萬,https://animeRef.php?sn=113084
4,2023-05-01 00:43:50,5,5,超人力霸王德卡,年份：2022/07,共28集,7.6萬,https://animeRef.php?sn=113102
5,2023-05-01 00:43:50,5,5,幕末替身傳說,年份：2022/07,共12集,11.6萬,https://animeRef.php?sn=113099
6,2023-05-01 00:43:50,5,5,天籟人偶,年份：2022/07,共12集,29萬,https://animeRef.php?sn=113100
7,2023-05-01 00:43:50,5,5,阿松～希皮波族與閃耀果實～,年份：2022/07,共1集,9175,https://animeRef.php?sn=113123
8,2023-05-01 00:43:50,5,5,組長女兒與保姆,年份：2022/07,共12集,123.5萬,https://animeRef.php?sn=113076
9,2023-05-01 00:43:50,5,5,奇米萌 CHIMIMO,年份：2022/07,共12集,8萬,https://animeRef.php?sn=113101
10,2023-05-01 00:43:50,5,5,來自深淵 烈日的黃金鄉,年份：2022/07,共12集,255.8萬,https://animeRef.php?sn=113073
11,2023-05-01 00:43:50,5,5,繼母的拖油瓶是我的前女友,年份：2022/07,共12集,238.1萬,https://animeRef.php?sn=113074
